orig_string,country,city
"Lehrstuhl für Informationswissenschaft, Universität Regensburg",,
"Leibniz Universität Hannover, Germany",Deutschland,
"Ludwig Maximilians Universität München, Germany",Deutschland,
"Ludwig-Maximilians-Universität, Germany",Deutschland,
"Martin-Luther-Universität Halle-Wittenberg, Germany",Deutschland,Halle
"Max Planck Institut für Evolutionäre Anthropologie, Germany",Deutschland,
"Max Weber Stiftung, de.hypotheses.org",,
Max-Planck Institut für Psycholinguistik,,
Max-Planck-Institut für europäische Rechtsgeschichte,,
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Germany",Deutschland,
"Max-Weber-Kolleg für kultur- und sozialwissenschaftliche Studien der Universität Erfurt, Germany, Arbeitsgemeinschaft Geschichte und EDV e.V., Interdisciplinary Center of E-Humanities in History and Social Sciences",Deutschland,
"MLU Halle-Wittenberg, Germany",Deutschland,Halle
"MPI für Wissenschaftsgeschichte und Berlin-Brandenburgische Akademie der Wissenschaften, Germany",Deutschland,Berlin
"Musikwissenschaftliches Seminar Detmold / Paderborn, Germany",Deutschland,
"Niedersächsiche Staats- und Universitätsbibliothek Göttingen, Germany",Deutschland,
"Niedersächsische Staats- und Universitätsbibliothek Göttingen, Germany",Deutschland,
"Otto-von Guericke-Universität Magdeburg, Germany",Deutschland,
"pagina GmbH, Germany",Deutschland,
"Pina Bausch Stiftung, Wuppertal",,
Public Research Centre Henri Tudor,,
"Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",Deutschland,Bonn
"Soziologisches Forschungsinstitut Göttingen, Deutschland",Deutschland,
Soziologisches Forschungsinstitut Göttingen,,
"Universität Hamburg, Fachbereich Sozialökonomie, Deutschland",Deutschland,Hamburg
"Steinheim-Institut für deutsch-jüdische Geschichte, Germany",Deutschland,
"Stiftung Archiv der deutschen Frauenbewegung, Kassel, Deutschland",Deutschland,Kassel
"Stiftung Mozarteum Salzburg, Austria",Österreich,Salzburg
"Technische Universität Darmstadt, Universität Trier, Germany",Deutschland,Trier
"Technische Universität Dortmund, Fakultät Informatik, Deutschland",Deutschland,
"Technische Universität Dortmund, Institut für deutsche Sprache und Literatur, Deutschland",Deutschland,
"Technische Universität Dresden, Germany",Deutschland,
Thüringer Buchlöwe - Schreibwettbewerb der Literarischen Gesellschaft Thüringen,,
"Trier Center for Digital Humanities, Germany",Deutschland,Trier
Universitaet Potsdam; Germany,Deutschland,
"Universitaet Tuebingen, Germany",Deutschland,
"Universität Bergen, Norway",Norwegen,Bergen
Universität des Saarlands,,
"Universität Duisburg-Essen, Germany",Deutschland,
"Universität Erlangen-Nürnberg, Germany",Deutschland,
"Universität Heidelberg, Germany",Deutschland,
"Universität Hildesheim, Institut für Informationswissenschaft und Sprachtechnologie",,
"Universität Konstanz, Germany",Deutschland,Konstanz
"Universität Passau, Germany",Deutschland,Passau
"Universität Stuttgart, Institut für Maschinelle Sprachverarbeitung",,
"Universität Stuttgart, Institut für Sozialwissenschaften",,
"Universität Trier, Neuere und Neueste Geschichte",,Trier
"Universität Würzburg, Germany",Deutschland,
"Universitätsbibliothek Frankfurt am Main, Germany",Deutschland,Frankfurt
"University of Hamburg, Germany",Deutschland,Hamburg
Universtiät Bern,,Bern
"Universität München, Germany",Deutschland,
"Wittgenstein-Archiv an der Universität Bergen, Norway",Norwegen,Bergen
"Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz, Austria",Österreich,Graz
"Zentrum für Technologietransfer und Telekommunikation, FH Worms",,
"Zentrum Technik und Gesellschaft / TU Berlin, Germany",Deutschland,Berlin
"Ruhr-Universität-Bochum, Deutschland",Deutschland,Bochum
