orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Staats- und Universtitätsbibliothek Göttingen	Deutschland	Göttingen	Q3033	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Bibliothek	Q564783	http://www.wikidata.org/entity/Q564783	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Q21881											
Staatsbibliothek zu Berlin Preußischer Kulturbesitz, Deutschland	Deutschland	Berlin	Q64	Staatsbibliothek zu Berlin	Bibliothek	Q170109	http://www.wikidata.org/entity/Q170109	Staatsbibliothek zu Berlin	Q10660	02ysgg478	https://ror.org/02ysgg478									
Stellvertretende Vorsitzende der AG Datenzentren des DHd				DHd		Q63246045	http://www.wikidata.org/entity/Q63246045	Digital Humanities im deutschsprachigen Raum	Q396813				AG Datenzentren							
Fachbereich Informationswissenschaften, Fachhochschule Potsdam, Deutschland	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23		Fachbereich Informationswissenschaften							
SUB Göttingen, Deutschland	Deutschland	Göttingen	Q3033	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Bibliothek	Q564783	http://www.wikidata.org/entity/Q564783	Niedersächsische Staats- und Universitätsbibliothek Göttingen	Q21881											
Technische Universität Berlin, Deutschland	Deutschland	Berlin	Q64	Technische Universität Berlin	Universität	Q51985	http://www.wikidata.org/entity/Q51985	Technische Universität Berlin	Q405632	03v4gjf40	https://ror.org/03v4gjf40									
Akademie der Wissenschaften und der Literatur Mainz, Deutschland	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Technische Universität Dortmund	Deutschland	Dortmund	Q1295	Technische Universität Dortmund	Universität	Q685557	http://www.wikidata.org/entity/Q685557	Technische Universität Dortmund	Q399792	01k97gp34	https://ror.org/01k97gp34									
Technische Universität Dresden, Institut für Philosophie	Deutschland	Dresden	Q1731	Technische Universität Dresden	Universität	Q158158	http://www.wikidata.org/entity/Q158158	Technische Universität Dresden	Q271297	042aqky30	https://ror.org/042aqky30		Institut für Philosophie							
Technische Universität Hamburg	Deutschland	Hamburg	Q1055	Technische Universität Hamburg	Universität	Q1060	http://www.wikidata.org/entity/Q1060	Technische Universität Hamburg		04bs1pb34	https://ror.org/04bs1pb34									
Trier Center for Digital Humanities (TCDH)	Deutschland	Trier	Q3138	Universität Trier	Universität	Q702486	http://www.wikidata.org/entity/Q702486	Universität Trier		02778hg05	https://ror.org/02778hg05		Trier Center for Digital Humanities	Q1780875	http://www.wikidata.org/entity/Q1780875	Kompetenzzentrum – Trier Center for Digital Humanities				
Universität Trier	Deutschland	Trier	Q3138	Universität Trier	Universität	Q702486	http://www.wikidata.org/entity/Q702486	Universität Trier		02778hg05	https://ror.org/02778hg05									
UNED, Spanien	Spanien	Madrid	Q2807	UNED	Universität	Q421739	http://www.wikidata.org/entity/Q421739	Nationale Fernuniversität	Q394190	02msb5n36	https://ror.org/02msb5n36									
Universidade Nova de Lisboa, Portugal	Portugal	Lissabon	Q597	Universidade Nova de Lisboa	Universität	Q1979891	http://www.wikidata.org/entity/Q1979891	Neue Universität Lissabon		02xankh89	https://ror.org/02xankh89									
Università degli Studi di Roma La Spienza, Italien	Italien	Rom	Q220	Università degli Studi di Roma La Spienza																
Universität Antwerpen, Belgien	Belgien	Antwerpen	Q12892	Universität Antwerpen	Universität	Q175241	http://www.wikidata.org/entity/Q175241	Universität Antwerpen		008x57b05	https://ror.org/008x57b05									
Universität Bamberg, Deutschland	Deutschland	Bamberg	Q3936	Otto-Friedrich-Universität Bamberg	Universität	Q707272	http://www.wikidata.org/entity/Q707272	Otto-Friedrich-Universität Bamberg	Q172923	01c1w6d29	https://ror.org/01c1w6d29									
Universität Bern, Historisches Institut	Schweiz	Bern	Q70	Universität Bern	Universität	Q659080	http://www.wikidata.org/entity/Q659080	Universität Bern	Q99634	02k7v4d05	https://ror.org/02k7v4d05		Historisches Institut							
Universität zu Köln, Cologne Center for eHumanities	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Cologne Center for eHumanities							
Universität Cambridge, Vereinigtes Königreich	Vereinigtes Königreich	Cambridge	Q350	Universität Cambridge	Universität	Q35794	http://www.wikidata.org/entity/Q35794	University of Cambridge	Q144990	013meh722	https://ror.org/013meh722									
Universität des Saarlandes, Deutschland	Deutschland	Saarbrücken	Q1724	Universität des Saarlandes	Universität	Q700758	http://www.wikidata.org/entity/Q700758	Universität des Saarlandes	Q419363	01jdpyv68	https://ror.org/01jdpyv68									
Universität des Saarlandes	Deutschland	Saarbrücken	Q1724	Universität des Saarlandes	Universität	Q700758	http://www.wikidata.org/entity/Q700758	Universität des Saarlandes	Q419363	01jdpyv68	https://ror.org/01jdpyv68									
Universität Kassel, Deutschland	Deutschland	Kassel	Q2865	Universität Kassel	Universität	Q833822	http://www.wikidata.org/entity/Q833822	Universität Kassel		04zc7p361	https://ror.org/04zc7p361									
Universität Leipzig\Historisches Seminar, Deutschland	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
Universität Regensburg	Deutschland	Regensburg	Q2978	Universität Regensburg	Universität	Q574571	http://www.wikidata.org/entity/Q574571	Universität Regensburg	Q172915	01eezs655	https://ror.org/01eezs655									
